TITLE = "Normal distribution"
VARIABLES = "X", "Y", "Z"
ZONE T = "ZONE1", I = 100 J = 100, F = POINT
-3, -3, 2.1535e-006
-3, -2.94, 3.07558e-006
-3, -2.88, 4.36096e-006
-3, -2.82, 6.13919e-006
-3, -2.76, 8.58051e-006
-3, -2.7, 1.19066e-005
-3, -2.64, 1.64035e-005
-3, -2.58, 2.24366e-005
-3, -2.52, 3.04685e-005
-3, -2.46, 4.10788e-005
-3, -2.4, 5.49868e-005
-3, -2.34, 7.30755e-005
-3, -2.28, 9.6418e-005
-3, -2.22, 0.000126304
-3, -2.16, 0.000164267
-3, -2.1, 0.000212108
-3, -2.04, 0.000271916
-3, -1.98, 0.000346088
-3, -1.92, 0.000437332
-3, -1.86, 0.000548668
-3, -1.8, 0.000683409
-3, -1.74, 0.000845132
-3, -1.68, 0.00103763
-3, -1.62, 0.00126483
-3, -1.56, 0.00153072
-3, -1.5, 0.00183921
-3, -1.44, 0.00219403
-3, -1.38, 0.00259851
-3, -1.32, 0.00305548
-3, -1.26, 0.00356705
-3, -1.2, 0.00413438
-3, -1.14, 0.00475757
-3, -1.08, 0.00543543
-3, -1.02, 0.00616531
-3, -0.96, 0.00694303
-3, -0.9, 0.00776276
-3, -0.84, 0.00861701
-3, -0.78, 0.00949664
-3, -0.72, 0.010391
-3, -0.66, 0.011288
-3, -0.6, 0.0121744
-3, -0.54, 0.0130363
-3, -0.48, 0.013859
-3, -0.42, 0.014628
-3, -0.36, 0.0153289
-3, -0.3, 0.0159481
-3, -0.24, 0.0164733
-3, -0.18, 0.0168937
-3, -0.12, 0.0172005
-3, -0.06, 0.0173873
-3, 2.16493e-015, 0.01745
-3, 0.06, 0.0173873
-3, 0.12, 0.0172005
-3, 0.18, 0.0168937
-3, 0.24, 0.0164733
-3, 0.3, 0.0159481
-3, 0.36, 0.0153289
-3, 0.42, 0.014628
-3, 0.48, 0.013859
-3, 0.54, 0.0130363
-3, 0.6, 0.0121744
-3, 0.66, 0.011288
-3, 0.72, 0.010391
-3, 0.78, 0.00949664
-3, 0.84, 0.00861701
-3, 0.9, 0.00776276
-3, 0.96, 0.00694303
-3, 1.02, 0.00616531
-3, 1.08, 0.00543543
-3, 1.14, 0.00475757
-3, 1.2, 0.00413438
-3, 1.26, 0.00356705
-3, 1.32, 0.00305548
-3, 1.38, 0.00259851
-3, 1.44, 0.00219403
-3, 1.5, 0.00183921
-3, 1.56, 0.00153072
-3, 1.62, 0.00126483
-3, 1.68, 0.00103763
-3, 1.74, 0.000845132
-3, 1.8, 0.000683409
-3, 1.86, 0.000548668
-3, 1.92, 0.000437332
-3, 1.98, 0.000346088
-3, 2.04, 0.000271916
-3, 2.1, 0.000212108
-3, 2.16, 0.000164267
-3, 2.22, 0.000126304
-3, 2.28, 9.6418e-005
-3, 2.34, 7.30755e-005
-3, 2.4, 5.49868e-005
-3, 2.46, 4.10788e-005
-3, 2.52, 3.04685e-005
-3, 2.58, 2.24366e-005
-3, 2.64, 1.64035e-005
-3, 2.7, 1.19066e-005
-3, 2.76, 8.58051e-006
-3, 2.82, 6.13919e-006
-3, 2.88, 4.36096e-006
-3, 2.94, 3.07558e-006
-2.94, -3, 2.57357e-006
-2.94, -2.94, 3.67552e-006
-2.94, -2.88, 5.21163e-006
-2.94, -2.82, 7.33673e-006
-2.94, -2.76, 1.02543e-005
-2.94, -2.7, 1.42292e-005
